ADS_N,elevation,aspect,slope,plot_radius,ForCat,ASSETTO,CanopyCover,nDeadTrees,DEFOGLIAZIONE,sDBH,sH,incr_cm_y,sDBH2,vol_i_1,vol_i_2,pV_new,CAI_m3_ha_y,Age,dom_DBH,TH,BasalArea_ha,GS_ha,pV,CAI_mc_ha_anno,
1200120,625,O,20,8,CA,CM,95,2,0,10,14,0.4,10.4,0.0549778714,0.0594640657,0.0816,54.105696,12,30,15,27.84,663.06,0.32,2.121792,54.105696
5500154,350,A,0,10,CA,FU,99,0,99,10,7,0.29,10.29,0.0274889357,0.0291064122,0.058841,47.89598559,15,150,19,87.13,813.99,0.232,1.8884568,47.89598559
6200463,285,N,5,10,CA,FC,100,2,0,8,7,0.4,8.4,0.0175929189,0.019396193,0.1025,48.3308,10,67,27,47.44,471.52,0.4,1.88608,48.3308
5400026,154,N,11,10,RB,FC,90,0,99,9,9,0.37,9.37,0.0286277631,0.0310299858,0.0839123457,45.4905608395,11,54,29,63.94,542.12,0.3288888889,1.7829724444,45.4905608395
1200042,1110,E,35,10,CA,CM,90,0,0,9,8,0.4,9.4,0.0254469005,0.0277591127,0.0908641975,44.7242666667,12,30,18,13.23,492.21,0.3555555556,1.75008,44.7242666667
5300115,400,N,33,10,QV,FU,80,7,99,11,9,0.29,11.29,0.04276493,0.0450495315,0.053422314,41.4129778512,14,60,23,70.96,775.2,0.2109090909,1.6349672727,41.4129778512
1200129,920,E,40,8,CA,FU,85,0,0,10,9,0.35,10.35,0.0353429174,0.0378602166,0.071225,40.353236,16,59,17,43.97,566.56,0.28,1.586368,40.353236
1200141,940,E,20,8,CA,FU,80,1,0,11,11,0.25,11.25,0.0522682478,0.0546710753,0.0459710744,39.6776342975,27,84,14,86.73,863.1,0.1363636364,1.1769545455,39.6776342975
6000065,495,S,10,8,CA,CM,90,1,99,9,11,0.37,9.37,0.0349894882,0.0379255382,0.0839123457,39.1769959506,13,36,14,41.32,466.88,0.3288888889,1.5355164444,39.1769959506
400061,320,A,2,10,AN,FU,80,2,10,11,14,0.55,11.55,0.0665232244,0.0733418549,0.1025,37.64005,10,76,19,41,367.22,0.4,1.46888,37.64005
1200051,950,O,25,10,CA,CM,70,0,0,12,11,0.3,12.3,0.0622035345,0.0653525885,0.050625,35.613675,20,70,12,48.54,703.48,0.15,1.05522,35.613675
6100141,300,A,0,10,RB,FC,80,11,99,11,9,0.42,11.42,0.04276493,0.0460929605,0.0778214876,35.688156,10,49,25,44.66,458.59,0.3054545455,1.400784,35.688156
1200085,630,S,25,10,CA,CM,80,0,0,10,12,0.21,10.21,0.0471238898,0.0491238748,0.042441,34.93700679,17,18,13,26.22,823.19,0.168,1.3829592,34.93700679
